Champion,Ability,Spell Name,Has CC?,CC Type,Ability Description,Cooldown (Seconds)
Akshan,W,Going Rogue,❌,None,"Akshan passively marks enemy champions as Scoundrels when they kill his ally champions. If Akshan kills a Scoundrel, he resurrects the allies they killed, gains bonus gold, and clears all marks.<br><br>When activated, Akshan enters camouflage and gains Move Speed and Mana Regen while moving towards Scoundrels. Akshan loses the camouflage quickly while he is not in brush or near terrain.",18/14/10/6/2
Akshan,E,Heroic Swing,❌,None,"Akshan fires a grappling hook into terrain then swings around it, repeatedly firing at the nearest enemy while swinging. He can jump off early or gets knocked off when colliding with champions or terrain.",18/16.5/15/13.5/12
Akshan,R,Comeuppance,❌,None,"Akshan locks onto an enemy champion and starts storing bullets. When released, he fires all stored bullets, dealing damage based on missing health to the first champion, minion, or structure hit.",100/85/70
Alistar,,,,,,
Alistar,Q,Pulverize,❌,None,"Alistar smashes the ground, dealing damage to nearby enemies and tossing them into the air.",14/13/12/11/10
Alistar,W,Headbutt,❌,None,"Alistar rams a target with his head, dealing damage and knocking the target back.",14/13/12/11/10
Alistar,E,Trample,✅,stun,"Alistar tramples nearby enemy units, ignoring unit collision and gaining stacks if he damages an enemy champion. At full stacks Alistar's next basic attack against an enemy champion deals additional magic damage and stuns them.",12/11.5/11/10.5/10
Alistar,R,Unbreakable Will,❌,None,"Alistar lets out a wild roar, removing all crowd control effects on himself, and reducing incoming physical and magical damage for the duration.",120/100/80
Ambessa,,,,,,
Ambessa,Q,Cunning Sweep / Sundering Slam,❌,None,"Ambessa sweeps her twin drakehounds in a semicircle in front of her, dealing bonus damage to enemies hit by the blades. Striking an enemy will transform the next cast of this ability for a short period of time, causing her to slam her twin drakehounds down in a line in front of her, dealing bonus damage to the first enemy hit.",14/13/12/11/10
Ambessa,W,Repudiation,❌,None,"Ambessa gains a shield, briefly braces herself, and then slams the ground to damage nearby enemies. If she blocked any non-minion damage while bracing herself, this ability will deal increased damage.",18/17/16/15/14
Ambessa,E,Lacerate,✅,slow,"Ambessa whips her twin drakehounds around herself, damaging and slowing nearby enemies. Initiating Drakehound's Step from this ability causes her to strike a second time at the end of its dash.",13/12/11/10/9
Ambessa,R,Public Execution,✅,"stun, suppress",Ambessa blinks to the farthest enemy champion in a line of her choosing and suppresses them upon her arrival. She then slams the enemy into the ground where they take damage and are stunned.,130/115/100
Amumu,,,,,,
Amumu,Q,Bandage Toss,✅,stun,"Amumu tosses a sticky bandage at a target, stunning and damaging the target while he pulls himself to them.",3/3/3/3/3
Amumu,W,Despair,❌,None,"Overcome by anguish, nearby enemies lose a percentage of their maximum Health each second and have their <font color='#9b0f5f'>Curses</font> refreshed.",1/1/1/1/1
Amumu,E,Tantrum,❌,None,"Permanently reduces the physical damage Amumu would take. Amumu can unleash his rage, dealing damage to surrounding enemies. Each time Amumu is hit, the cooldown on Tantrum is reduced.",9/8/7/6/5
Amumu,R,Curse of the Sad Mummy,✅,stun,"Amumu entangles surrounding enemy units in bandages, applying his <keywordMajor>Curse</keywordMajor>, damaging and stunning them.",150/125/100
Anivia,,,,,,
Anivia,Q,Flash Frost,✅,stun,"Anivia brings her wings together and summons a sphere of ice that flies towards her opponents, chilling and damaging anyone in its path. When the sphere explodes it does moderate damage in a radius, stunning anyone in the area.",12/11/10/9/8
Anivia,W,Crystallize,❌,None,Anivia condenses the moisture in the air into an impassable wall of ice to block all movement. The wall only lasts a short duration before it melts.,17/17/17/17/17
Anivia,E,Frostbite,❌,None,"With a flap of her wings, Anivia blasts a freezing gust of wind at her target, dealing damage. If the target was recently hit by Flash Frost or damaged by a fully formed Glacial Storm, the damage they take is doubled.",4/4/4/4/4
Anivia,R,Glacial Storm,✅,slow,Anivia summons a driving rain of ice and hail to damage her enemies and slow their advance.,4/3/2
Annie,,,,,,
Annie,Q,Disintegrate,❌,None,"Annie hurls a Mana infused fireball, dealing damage and refunding the Mana cost if it destroys the target.",4/4/4/4/4
Annie,W,Incinerate,❌,None,"Annie casts a blazing cone of fire, dealing damage to all enemies in the area.",8/8/8/8/8
Annie,E,Molten Shield,❌,None,"Grants Annie or an ally a shield, a burst of Move Speed, and damages enemies who strike her with attacks or spells.",12/11.5/11/10.5/10
Annie,R,Summon: Tibbers,❌,None,"Annie wills her bear Tibbers to life, dealing damage to units in the area. Tibbers can attack and also burns enemies that stand near him.",130/115/100
Aphelios,,,,,,
Aphelios,Q,Weapon Abilites,✅,"slow, root","Aphelios has 5 different activated abilities, based on his main-hand weapon:<br><br>Calibrum (Rifle): Long range shot that marks its target for a long-range follow-up attack.<br>Severum (Scythe Pistol): Run fast while attacking nearby enemies with both weapons.<br>Gravitum (Cannon): Root all enemies slowed by this weapon.<br>Infernum (Flamethrower): Blast enemies in a cone and attack them with your off-hand weapon.<br>Crescendum (Chakram): Deploy a sentry that shoots your off-hand weapon.<br>",9/9/9/9/9/9
Aphelios,W,Phase,❌,None,"Aphelios swaps his main-hand gun with his off-hand gun, replacing his basic attack and activated ability.",0.8/0.8/0.8/0.8/0.8/0.8
Aphelios,E,Weapon Queue System,❌,None,Aphelios has no third ability. This slot shows the next weapon Alune will give him. Weapon order begins fixed but may change over game time -- when a weapon is out of ammo it goes to the end of the order.,0/0/0/0/0/0
Aphelios,R,Moonlight Vigil,❌,None,Fire a concentrated blast of moonlight that explodes on enemy champions. Applies the unique effect of Aphelios' main-hand gun.,120/110/100
Ashe,,,,,,
Ashe,Q,Ranger's Focus,❌,None,"Ashe builds up Focus by attacking. At maximum Focus, Ashe can cast Ranger's Focus to consume all stacks of Focus, temporarily increasing her Attack Speed and transforming her basic attack into a powerful flurry attack for the duration.",0/0/0/0/0
Ashe,W,Volley,❌,None,Ashe fires arrows in a cone for increased damage. Also applies Frost Shot.,18/14.5/11/7.5/4
Ashe,E,Hawkshot,❌,None,Ashe sends her Hawk Spirit on a scouting mission anywhere on the map.,5/5/5/5/5
Ashe,R,Enchanted Crystal Arrow,✅,"stun, slow","Ashe fires a missile of ice in a straight line. If the arrow collides with an enemy Champion, it deals damage and stuns the Champion, stunning for longer the farther arrow has traveled. In addition, surrounding enemy units take damage and are slowed.",100/80/60
AurelionSol,,,,,,
AurelionSol,Q,Breath of Light,❌,None,"Aurelion Sol channels his dragon breath for a few seconds, damaging the first enemy hit and splashing reduced damage onto nearby enemies. Each second the breath is channeled directly at an enemy will deal bonus damage, which is improved by the amount of Stardust that's been collected. This ability collects Stardust if the target is a champion.",3/3/3/3/3
AurelionSol,W,Astral Flight,❌,None,"Aurelion Sol flies over terrain in a targeted direction. While in this state, he can cast other abilities. Breath of Light no longer has a cooldown or maximum channel duration and deals increased damage while flying.<br><br>Astral Flight's remaining cooldown is reduced whenever an enemy champion dies after being recently damaged by Aurelion Sol.<br><br>Stardust increases Astral Flight's maximum range.",0/0/0/0/0
AurelionSol,E,Singularity,✅,slow,"Aurelion Sol summons a black hole, damaging enemies and slowly pulling them toward its center. This ability grants Stardust each time an enemy dies within the black hole and for each second an enemy champion is caught inside it. The center of the black hole executes enemies who are below a certain percentage of their maximum health. Stardust increases Singularity's area as well as the execution threshold.",12/12/12/12/12
AurelionSol,R,Falling Star / The Skies Descend,✅,"stun, slow","Falling Star: Aurelion Sol crashes a star into the earth. This impact deals magic damage and stuns enemies while also granting Stardust for each enemy champion it hits. Gathering enough Stardust transforms Aurelion Sol's next Falling Star into The Skies Descend.<br><br>The Skies Descend: Aurelion Sol drags a giant star down from the heavens with an increased impact zone and increased damage, knocking up enemies rather than stunning them. A shockwave then spreads from the edge of the impact zone, which damages and slows the enemies it hits. Stardust increases the impact area of both Falling Star and The Skies Descend.",120/110/100
Aurora,,,,,,
Aurora,Q,Twofold Hex,❌,None,"Aurora sends out a missile that curses any enemies it hits. She can then recast the ability to draw active curses back toward herself, damaging foes who are hit along the way.",9/8.5/8/7.5/7
Aurora,W,Across the Veil,❌,None,"Aurora leaps in a direction of her choosing, entering the spirit realm upon landing, becoming invisible, and gaining move speed for a short duration of time.",22/21/20/19/18
Aurora,E,The Weirding,✅,slow,"Aurora converges the realms, sending out a blast of spirit magic that damages and slows enemies before Aurora hops backward to safety.",15/14/13/12/11
Aurora,R,Between Worlds,✅,slow,"Aurora leaps in a direction of her choosing, releasing a shockwave that damages and slows any enemies it hits. Afterward, she creates an area that slows enemies within it and allows Aurora to teleport from one side of the area to the other.",140/120/100
Azir,,,,,,
Azir,Q,Conquering Sands,✅,slow,Azir sends all Sand Soldiers towards a location. Sand Soldiers deal magic damage to enemies they pass through and apply a slow for 1 second.,14/12/10/8/6
Azir,W,Arise!,❌,None,"Azir summons a Sand Soldier to attack nearby targets for him, replacing his basic attack against targets within the soldier's range. Their attacks deal magic damage to enemies in a line. Arise! also passively grants attack speed to Azir and his Sand Soldiers.",1.5/1.5/1.5/1.5/1.5
Azir,E,Shifting Sands,❌,None,"Azir shields himself briefly and dashes to one of his Sand Soldiers, damaging enemies. If he hits an enemy champion, he instantly readies a new Sand Soldier for deployment and halts his dash.",22/20.5/19/17.5/16
Azir,R,Emperor's Divide,❌,None,"Azir summons a wall of soldiers which charge forward, knocking back and damaging enemies.",120/105/90
Bard,,,,,,
Bard,Q,Cosmic Binding,✅,"stun, slow","Bard fires a missile which will slow the first enemy struck, and continue onward. If it strikes a wall, it will stun the initial target; if it strikes another enemy, it will stun them both.",11/10/9/8/7
Bard,W,Caretaker's Shrine,❌,None,"Reveals a Health shrine which powers up over a short time, disappearing after healing and speeding up the first ally that touches it.",0/0/0/0/0
Bard,E,Magical Journey,❌,None,Bard opens a portal in nearby terrain. Allies and enemies alike can take a one-way trip through that terrain by moving into the portal.,22/20.5/19/17.5/16
Bard,R,Tempered Fate,❌,None,"Bard sends spirit energy arcing to a location, putting all champions, minions, monsters, and turrets hit into stasis for a brief time.",110/95/80
Belveth,,,,,,
Belveth,Q,Void Surge,❌,None,Bel'Veth dashes in a chosen direction and damages all enemies she passes through.,1/1/1/1/1
Belveth,W,Above and Below,✅,slow,"Bel'Veth slams her tail to the ground, damaging, knocking up, and slowing her enemies.",12/11/10/9/8
Belveth,E,Royal Maelstrom,✅,root,"Bel'Veth roots herself in place, channeling a storm of slashes around her that targets the lowest-health enemy and grants her lifesteal and damage reduction.",20/19/18/17/16
Belveth,R,Endless Banquet,❌,None,"Bel'Veth consumes Void coral remnants, transforming into her true form and increasing her max health, attack range, attack speed, and out-of-combat move speed. Consuming the Void coral remnants of a Void epic monster will grant her a longer ultimate duration, as well as the power to summon Void remora.",1/1/1
Blitzcrank,,,,,,
Blitzcrank,Q,Rocket Grab,❌,None,"Blitzcrank fires their right hand to grab an opponent on its path, dealing damage and dragging it back to them.",20/19/18/17/16
Blitzcrank,W,Overdrive,✅,slow,Blitzcrank super charges themself to get dramatically increased Move and Attack Speed. They are temporarily slowed after the effect ends.,15/15/15/15/15
Blitzcrank,E,Power Fist,❌,None,Blitzcrank charges up their fist to make the next attack deal double damage and pop their target up in the air.,9/8/7/6/5
Blitzcrank,R,Static Field,✅,silence,"Enemies attacked by Blitzcrank are marked and take lightning damage after 1 second. Additionally, Blitzcrank can activate this ability to remove nearby enemies' shields, damage them, and silence them briefly.",60/40/20
Brand,,,,,,
Brand,Q,Sear,✅,stun,"Brand launches a ball of fire forward that deals magic damage. If the target is ablaze, Sear will stun the target for @StunDuration@ seconds.",8/7.5/7/6.5/6
Brand,W,Pillar of Flame,❌,None,"After a short delay, Brand creates a Pillar of Flame at a target area, dealing magic damage to enemy units within the area. Units that are ablaze take an additional 25% damage.",10/9.5/9/8.5/8
Brand,E,Conflagration,❌,None,"Brand conjures a powerful blast at his target that spreads to nearby enemies, dealing magic damage. If the target is ablaze, Conflagration's spread is doubled.",13/12/11/10/9
Brand,R,Pyroclasm,✅,slow,"Brand unleashes a devastating torrent of fire that bounces up to 5 times off of Brand and nearby enemies, dealing magic damage to enemies each time bounce. Bounces prioritize stacking Blaze to max on Champions. If a target is ablaze, Pyroclasm will briefly slow them.",110/100/90
Braum,,,,,,
Braum,Q,Winter's Bite,✅,slow,"Braum propels freezing ice from his shield, slowing and dealing magic damage.<br><br>Applies a stack of <font color='#FFF673'>Concussive Blows</font>.",8/7.5/7/6.5/6
Braum,W,Stand Behind Me,❌,None,"Braum leaps to a target allied champion or minion. On arrival, Braum and the ally gain Armor and Magic Resist for a few seconds.",12/11/10/9/8
Braum,E,Unbreakable,❌,None,"Braum raises his shield in a direction for several seconds, intercepting all projectiles causing them to hit him and be destroyed. He negates the damage of the first attack completely and reduces the damage of all subsequent attacks from this direction.",16/14/12/10/8
Braum,R,Glacial Fissure,✅,slow,"Braum slams the ground, knocking up enemies nearby and in a line in front of him. A fissure is left along the line that slows enemies.",120/100/80
Briar,,,,,,
Briar,Q,Head Rush,✅,stun,"Briar leaps to a unit and hits enemies with The Heel Wheel (of Pain), stunning them and breaking their Armor.",13/12/11/10/9
Briar,W,Blood Frenzy / Snack Attack,❌,None,"Briar leaps forward and shatters her pillory, entering a Blood Frenzy that causes her to relentlessly pursue the nearest enemy (prioritizing champions). While frenzied, she gains increased Attack Speed and Move Speed, and her attacks deal damage in an area around her target.<br><br>Briar can reactivate this ability while frenzied to take a CHOMP out of her target on her next attack, dealing additional damage based on their missing Health, and healing Briar based on the damage she deals.",14/13/12/11/10
Briar,E,Chilling Scream,✅,"stun, slow","Briar refocuses her mind, removing Blood Frenzy and channeling energy into a powerful scream that damages and slows enemies. While charging, she takes reduced damage and heals for a portion of her max Health. A fully charged scream knocks foes back, dealing additional damage and stunning those who collide with a wall.",16/16/16/16/16
Briar,R,Certain Death,✅,fear,"Briar kicks her pillory's hemolith gemstone, marking the first champion it hits as her prey. She then beelines straight to them, fearing other surrounding enemies upon arriving at her target, and enters a state of complete hemomania. She will pursue her prey until death, gaining the benefits of Blood Frenzy as well as additional Armor, Magic Resistance, Life Steal, and Move Speed.",120/100/80
Caitlyn,,,,,,
Caitlyn,Q,Piltover Peacemaker,❌,None,Caitlyn revs up her rifle for 1 second to unleash a penetrating shot that deals physical damage (deals less damage to subsequent targets).,10/9/8/7/6
Caitlyn,W,Yordle Snap Trap,❌,None,"Caitlyn sets a trap that, when sprung, reveals and immobilizes the enemy champion for 1.5 seconds, granting Caitlyn an empowered Headshot.",0.5/0.5/0.5/0.5/0.5
Caitlyn,E,90 Caliber Net,✅,slow,Caitlyn fires a heavy net to slow her target. The recoil knocks Caitlyn back.,16/14/12/10/8
Caitlyn,R,Ace in the Hole,❌,None,"Caitlyn takes time to line up the perfect shot, dealing massive damage to a single target at a huge range. Enemy champions can intercept the bullet for their ally.",90/90/90
Camille,,,,,,
Camille,Q,Precision Protocol,❌,None,"Camille's next attack deals bonus damage and grants bonus Move Speed. This spell can be recast for a short period of time, doing significantly increased bonus damage if Camille delays a period of time between the two attacks.",9/8/7/6/5
Camille,W,Tactical Sweep,✅,slow,"Camille blasts in a cone after a delay, dealing damage. Enemies in the outer half are slowed and take extra damage, while also healing Camille.",17/15.5/14/12.5/11
Camille,E,Hookshot,❌,None,"Camille pulls herself to a wall, leaping off and knocking up enemy champions upon landing.",16/15/14/13/12
Camille,R,The Hextech Ultimatum,❌,None,"Camille dashes to target champion, anchoring them to the area. She also deals bonus magic damage to the target with her basic attacks.",140/115/90
Cassiopeia,,,,,,
Cassiopeia,Q,Noxious Blast,❌,None,"Cassiopeia blasts an area with Poison after a brief delay, granting her increased Move Speed if she hits an enemy champion.",3.5/3.5/3.5/3.5/3.5
Cassiopeia,W,Miasma,✅,slow,"Cassiopeia releases several clouds of poison, slowing, grounding, and lightly damaging enemies that pass through them. Grounded enemies cannot use Movement abilities.",24/22/20/18/16
Cassiopeia,E,Twin Fang,❌,None,"Cassiopeia lets loose an attack that deals increased damage to Poisoned targets and heals her for a percentage of the damage dealt. If the target dies from this attack, Cassiopeia regains Mana.",0.75/0.75/0.75/0.75/0.75
Cassiopeia,R,Petrifying Gaze,✅,"stun, slow","Cassiopeia releases a swirl of magical energy from her eyes, stunning any enemies in front of her that are facing her and slowing any others with their back turned.",120/100/80
Chogath,,,,,,
Chogath,Q,Rupture,✅,slow,"Ruptures the ground at target location, popping enemy units into the air, dealing damage and slowing them.",6/6/6/6/6
Chogath,W,Feral Scream,❌,None,"Cho'Gath unleashes a terrible scream at enemies in a cone, dealing magic damage and Silencing enemies for a few seconds.",11/10.5/10/9.5/9
Chogath,E,Vorpal Spikes,✅,slow,"Cho'Gath's attacks release deadly spikes, dealing damage and slowing all enemy units in front of him.",8/7/6/5/4
Chogath,R,Feast,❌,None,"Devours an enemy unit, dealing a high amount of true damage. If the target is killed, Cho'Gath grows, gaining maximum Health.",80/70/60
Corki,,,,,,
Corki,Q,Phosphorus Bomb,❌,None,"Corki fires a flash bomb at a target location, dealing magic damage to enemies in the area. This attack additionally reveals units in the area for a duration.",9/8.5/8/7.5/7
Corki,W,Valkyrie,❌,None,"Corki flies a short distance, dropping bombs that create a trail of fire that damages opponents who remain in it.",20/18/16/14/12
Corki,E,Gatling Gun,❌,None,"Corki's gatling gun rapidly fires in a cone in front of him, dealing damage and reducing enemy Armor and Magic Resist.",12/12/12/12/12
Corki,R,Missile Barrage,❌,None,"Corki fires a missile toward his target location that explodes on impact, dealing damage to enemies in an area. Corki stores missiles over time, up to a maximum. Every 3rd missile fired will be a Big One, dealing extra damage.",2/2/2
Darius,,,,,,
Darius,Q,Decimate,❌,None,Darius winds up and swings his axe in a wide circle. Enemies struck by the blade take more damage than those struck by the handle. Darius heals based on enemy champions and large monsters hit by the blade.,9/8/7/6/5
Darius,W,Crippling Strike,✅,slow,"Darius's next attack strikes an enemy's crucial artery. As they bleed out, their Move Speed is slowed.",5/5/5/5/5
Darius,E,Apprehend,❌,None,"Darius hones his axe, passively causing his physical damage to ignore a percentage of his target's Armor. When activated, Darius sweeps up his enemies with his axe's hook and pulls them to him.",24/21.5/19/16.5/14
Darius,R,Noxian Guillotine,❌,None,"Darius leaps to an enemy champion and strikes a lethal blow, dealing true damage. This damage is increased for each stack of Hemorrhage on the target. If Noxian Guillotine is a killing blow, its cooldown is refreshed for a brief duration.",120/100/80
Diana,,,,,,
Diana,Q,Crescent Strike,❌,None,"Unleashes a bolt of lunar energy in an arc dealing magic damage.<br><br>Afflicts enemies struck with Moonlight, revealing them if they are not stealthed for 3 seconds.",8/7.5/7/6.5/6
Diana,W,Pale Cascade,❌,None,"Diana creates three orbiting spheres that detonate on contact with enemies to deal damage in an area. She also gains a temporary shield that absorbs damage. If her third sphere detonates, the shield gains additional strength.",15/13.5/12/10.5/9
Diana,E,Lunar Rush,❌,None,"Becomes the living embodiment of the vengeful moon, dashing to an enemy and dealing magic damage.<br><br>Lunar Rush has no cooldown when used to dash to an enemy afflicted with Moonlight. All other enemies will have the Moonlight debuff removed regardless of whether they were the target of Lunar Rush.",22/20/18/16/14
Diana,R,Moonfall,✅,slow,"Diana reveals and draws in all nearby enemies and slows them.<br><br>If Diana pulls in one or more enemy champions, the moonlight crashes down onto her after a short delay, dealing magic damage in an area around her, increased for each target beyond the first pulled.",100/90/80
DrMundo,,,,,,
DrMundo,Q,Infected Bonesaw,✅,slow,"Dr. Mundo throws an infected bonesaw, dealing damage to the first enemy hit based on their current health and slowing them.",4/4/4/4/4
DrMundo,W,Heart Zapper,❌,None,"Dr. Mundo electrocutes himself, dealing persistent damage to nearby enemies and storing a portion of damage he takes. At the end of the duration or on Recast, Dr. Mundo deals a burst of damage to nearby enemies. If the burst hit an enemy, he heals a percentage of the stored damage.",17/16.5/16/15.5/15
DrMundo,E,Blunt Force Trauma,❌,None,"Passive - Dr. Mundo gains bonus Attack Damage, increasing based on his max Health.<br><br>Active - Dr. Mundo slams his “medical” bag into an enemy, dealing additional damage based on his missing Health. If the enemy dies they are swatted away, dealing damage to enemies they pass through.",9/8.25/7.5/6.75/6
DrMundo,R,Maximum Dosage,❌,None,"Dr. Mundo pumps himself with chemicals, instantly healing a percent of his missing Health. He then gains Move Speed and regenerates a portion of his maximum Health over a long duration.",120/120/120
Draven,,,,,,
Draven,Q,Spinning Axe,❌,None,"Draven's next attack will deal bonus physical damage. This axe will ricochet off the target high up into the air. If Draven catches it, he automatically readies another Spinning Axe. Draven can have two Spinning Axes at once.",12/11/10/9/8
Draven,W,Blood Rush,❌,None,Draven gains increased Move Speed and Attack Speed. The Move Speed bonus decreases rapidly over its duration. Catching a Spinning Axe will refresh the cooldown of Blood Rush.,12/12/12/12/12
Draven,E,Stand Aside,✅,slow,"Draven throws his axes, dealing physical damage to targets hit and knocking them aside. Targets hit are slowed.",18/17/16/15/14
Draven,R,Whirling Death,✅,slow,Draven hurls two massive axes to deal physical damage to each unit struck. Whirling Death slowly reverses direction and returns to Draven after striking an enemy champion. Draven may also activate this ability while the axes are in flight to cause it to return early. Deals less damage for each unit hit and resets when the axes reverse direction. Executes enemies who have less health than Draven's number of Adoration stacks.,100/90/80
Ekko,,,,,,
Ekko,Q,Timewinder,✅,slow,"Ekko throws a temporal grenade that expands into a time-distortion field upon hitting an enemy champion, slowing and damaging anyone caught inside. After a delay, the grenade rewinds back to Ekko, dealing damage on its return.",9/8.5/8/7.5/7
Ekko,W,Parallel Convergence,✅,"stun, slow","Ekko's basic attacks deal bonus magic damage to low health enemies. He can cast Parallel Convergence to split the timeline, creating an anomaly after a few seconds that slows enemies caught inside. If Ekko enters the anomaly, he gains shielding and stuns enemies by suspending them in time.",22/20/18/16/14
Ekko,E,Phase Dive,❌,None,"Ekko rolls evasively while charging up his Z-Drive. His next attack deals bonus damage and warps reality, teleporting him to his target.",9/8.5/8/7.5/7
Ekko,R,Chronobreak,❌,None,"Ekko shatters his timeline, becoming untargetable and rewinding to a more favorable point in time. He returns to whenever he was a few seconds ago, and heals for a percentage of the damage received in that duration. Enemies near his arrival zone take massive damage.",110/80/50
Elise,,,,,,
Elise,Q,Neurotoxin / Venomous Bite,❌,None,Human Form: Deals damage based upon how high the target's Health is.<br><br>Spider Form: Lunges at an enemy and deals damage based upon how low their Health is.,6/6/6/6/6
Elise,W,Volatile Spiderling / Skittering Frenzy,❌,None,Human Form: Releases a venom-gorged Spiderling that explodes when it nears a target.<br><br>Spider Form: Elise and her Spiderlings gain Attack Speed.,12/12/12/12/12
Elise,E,Cocoon / Rappel,✅,stun,"Human Form: Stuns the first enemy unit hit and reveals them if they are not stealthed.<br><br>Spider Form: Elise and her Spiderlings ascend into the air and then descend upon target enemy. After descending on an enemy target, Elise's bonus damage and healing from Spider Queen is increased.",12/11.5/11/10.5/10
Elise,R,Spider Form,❌,None,"Transforms into a menacing spider, reducing her attack range in exchange for Move Speed, new abilities, and a Spiderling swarm that will attack her foes.",3/3/3/3
Evelynn,,,,,,
Evelynn,Q,Hate Spike,❌,None,"Evelynn strikes out with her Lasher, dealing damage to the first unit hit. Then, Evelynn can shoot a line of spikes at nearby foes up to @QStackCount@ times.",4/4/4/4/4
Evelynn,W,Allure,✅,charm,"Evelynn curses her target, causing her next attack or spell after a delay to charm her target and reduce their magic resist.",15/14/13/12/11
Evelynn,E,Whiplash,❌,None,"Evelynn whips her target with her Lasher, dealing damage. She then gains Move Speed for a short duration.",8/8/8/8/8
Evelynn,R,Last Caress,❌,None,Evelynn briefly goes untargetable and decimates the area in front of her before warping backwards a long distance.,120/100/80
Ezreal,,,,,,
Ezreal,Q,Mystic Shot,❌,None,Ezreal fires a damaging bolt of energy which reduces all of his cooldowns slightly if it strikes an enemy unit.,5.5/5.25/5/4.75/4.5
Ezreal,W,Essence Flux,❌,None,"Ezreal fires an orb that sticks to the first champion or objective hit. If Ezreal hits an enemy with the orb, it detonates and deals damage.",8/8/8/8/8
Ezreal,E,Arcane Shift,❌,None,Ezreal teleports to a target nearby location and fires a homing bolt which strikes the nearest enemy unit. Prioritizes enemies stuck with Essence Flux.,26/23/20/17/14
Ezreal,R,Trueshot Barrage,❌,None,Ezreal winds up before firing a powerful barrage of energy that deals massive damage to each unit it passes through (damage is reduced for minions and non-epic monsters).,120/105/90
Fiddlesticks,,,,,,
Fiddlesticks,Q,Terrify,✅,fear,"Fiddlesticks damaging enemies with spells while unseen or targeting an enemy with Terrify's activation strikes a target unit with fear, causing it to flee in terror for a duration.",15/14.5/14/13.5/13
Fiddlesticks,W,Bountiful Harvest,❌,None,"Fiddlesticks drains health from nearby enemies, dealing bonus execute damage at the end of the duration.",10/9.5/9/8.5/8
Fiddlesticks,E,Reap,✅,slow,"Fiddlesticks slashes an area with its scythe, slowing all enemies hit and silencing enemies hit in the center of the slash.",10/9/8/7/6
Fiddlesticks,R,Crowstorm,❌,None,"A murder of crows flock wildly around Fiddlesticks, dealing damage per second to all enemy units in the area.",140/110/80
Fiora,,,,,,
Fiora,Q,Lunge,❌,None,"Fiora lunges in a direction and stabs a nearby enemy, dealing physical damage and applying on-hit effects.",13/11.25/9.5/7.75/6
Fiora,W,Riposte,✅,"stun, slow","Fiora parries all incoming damage and disables for a short time, then stabs in a direction. This stab slows the first enemy champion hit, or stuns them if Fiora blocked an immobilizing effect with this ability.",24/22/20/18/16
Fiora,E,Bladework,✅,slow,"Fiora has increased attack speed for the next two attacks. The first attack slows the target, and the second attack will critically strike.",11/10/9/8/7
Fiora,R,Grand Challenge,❌,None,"Fiora reveals all four Vitals on an enemy champion and gains Move Speed while near them. If Fiora hits all four Vitals or if the target dies after she has hit at least one, Fiora and her allies in the area are healed over the next few seconds.",110/90/70
Fizz,,,,,,
